model,k_pct,recall,ndcg,n_users
ALS,0,0.004815729065478359,0.004595514485556924,9959
ALS,5,0.004797944572932013,0.004571057426140462,9959
ALS,10,0.004648004790654364,0.004311429553502186,9958
ALS,20,0.0035071021259627266,0.002968989284947856,9939
ALS,30,0.0032843540756461727,0.0026921554819891746,9936
ALS,50,0.0036529714570357574,0.002489665089411171,9891
ALS,75,0.002564234679857103,0.0016070873471552144,9704
Semantic,0,0.004815729065478359,0.004595514485556924,9959
Semantic,5,0.004990196354426645,0.0050545421597424315,9959
Semantic,10,0.0054021481134937325,0.005377744514107643,9958
Semantic,20,0.008062472258943302,0.007611608375996259,9939
Semantic,30,0.008381938514735718,0.00734774131490404,9936
Semantic,50,0.008963398664820633,0.00660876231856261,9891
Semantic,75,0.009135861619373572,0.005375345382582611,9704
DropoutNet,0,0.004815729065478359,0.004595514485556924,9959
DropoutNet,5,0.0049138051823001,0.004975045804844945,9959
DropoutNet,10,0.005259156335300871,0.005447859128050387,9958
DropoutNet,20,0.006719377193811685,0.006706497134348951,9939
DropoutNet,30,0.007497085059620883,0.006971416389257028,9936
DropoutNet,50,0.008621612493003404,0.006817875196734528,9891
DropoutNet,75,0.009667230601577677,0.006064353070867348,9704
