model,k_pct,recall,ndcg,n_users
ALS,0,0.004796502688570262,0.0050924839954410855,9986
ALS,5,0.004770578850384399,0.00500601136860931,9986
ALS,10,0.004561077644084036,0.004613607358786129,9986
ALS,20,0.0031546257998417817,0.002843549014655745,9986
ALS,30,0.0029917089442208496,0.00257670549263556,9986
ALS,50,0.003344597458191528,0.0023560180451761355,9986
ALS,75,0.0023957783320891672,0.001503317097383458,9986
Semantic,0,0.004796502688570262,0.0050924839954410855,9986
Semantic,5,0.004962726869240929,0.005521786781877996,9986
Semantic,10,0.005324423314325689,0.005817358172111381,9986
Semantic,20,0.007561214558564036,0.007555312155476912,9986
Semantic,30,0.007853875563211135,0.007249768653458461,9986
Semantic,50,0.00843689058232763,0.00646360443143645,9986
Semantic,75,0.008484612755723889,0.005168658700836065,9986
DropoutNet,0,0.004796502688570262,0.0050924839954410855,9986
DropoutNet,5,0.004900844240632455,0.005480077084892407,9986
DropoutNet,10,0.005159317036172474,0.006002002869156085,9986
DropoutNet,20,0.006268243618915314,0.006788295093996694,9986
DropoutNet,30,0.006922854614706192,0.006993261618532089,9986
DropoutNet,50,0.007953457716442205,0.006834171074566358,9986
DropoutNet,75,0.00890749042447765,0.005803528338317615,9986
